Filename,Material,Predicted_CT,Predicted_Energy
656-Mg2CoB2Co5.poscar,Mg2CoB2Co5,5.283474,0.043082227
580-Mg2RuB2Pd5.poscar,Mg2RuB2Pd5,5.268643,0.033209182
1414-Mg2AsB2Ru5.poscar,Mg2AsB2Ru5,5.1873484,0.048483062
680-Mg2RhB2Cu5.poscar,Mg2RhB2Cu5,5.1773953,0.038316849
702-Mg2RhB2Cu5.poscar,Mg2RhB2Cu5,5.177395,0.038316849
141-Mg2ZrB2Pt5.poscar,Mg2ZrB2Pt5,5.129336,0.030344484
738-Mg2IrB2Ir5.poscar,Mg2IrB2Ir5,5.094539,0.030347622
13-Mg2CuB2Fe5.poscar,Mg2CuB2Fe5,5.0928745,0.043874731
893-Mg2CuB2Fe5.poscar,Mg2CuB2Fe5,5.0928745,0.043874731
301-Mg2TaB2Pt5.poscar,Mg2TaB2Pt5,5.081258,0.038175266
18-Mg2CuB2Ir5.poscar,Mg2CuB2Ir5,5.0292573,0.005996777
898-Mg2CuB2Ir5.poscar,Mg2CuB2Ir5,5.0292573,0.005996777
1134-Mg2AlB2Ru5.poscar,Mg2AlB2Ru5,5.0101795,0.017283665
1294-Mg2GeB2Ru5.poscar,Mg2GeB2Ru5,4.9996815,0.016439971
1214-Mg2InB2Ru5.poscar,Mg2InB2Ru5,4.826372,0.035538228
938-Mg2AgB2Ir5.poscar,Mg2AgB2Ir5,4.798087,0.009469903
94-Mg2TiB2Ru5.poscar,Mg2TiB2Ru5,4.783297,0.025299155
134-Mg2ZrB2Ru5.poscar,Mg2ZrB2Ru5,4.779657,0.03295987
1173-Mg2GaB2Fe5.poscar,Mg2GaB2Fe5,4.7772226,0.04569302
14-Mg4RuB10.poscar,Mg4RuB10,4.7493973,0.02874821
224-Mg2VB2Au5.poscar,Mg2VB2Au5,4.7287383,0.048557316
1254-Mg2TlB2Ru5.poscar,Mg2TlB2Ru5,4.6939397,0.047220345
1014-Mg2ZnB2Ru5.poscar,Mg2ZnB2Ru5,4.674038,0.026639958
174-Mg2HfB2Ru5.poscar,Mg2HfB2Ru5,4.6586814,0.024918248
698-Mg2RhB2Ir5.poscar,Mg2RhB2Ir5,4.541849,0.016180874
340-Mg2MoB2Pd5.poscar,Mg2MoB2Pd5,4.5393167,0.040733435
1057-Mg2CdB2Rh5.poscar,Mg2CdB2Rh5,4.5059643,0.018298125
261-Mg2NbB2Pt5.poscar,Mg2NbB2Pt5,4.495335,0.0275456
1054-Mg2CdB2Ru5.poscar,Mg2CdB2Ru5,4.480453,0.035851722
