Filename,Material,Predicted_CT,Predicted_Energy,
50-Mg2YB2Mn5.poscar,Mg2YB2Mn5,3.0857682,0.074571839,
51-Mg2YB2Tc5.poscar,Mg2YB2Tc5,2.814992,0.074655355,
52-Mg2YB2Re5.poscar,Mg2YB2Re5,4.4359365,0.162005194,
53-Mg2YB2Fe5.poscar,Mg2YB2Fe5,12.892908,0.051676021,
54-Mg2YB2Ru5.poscar,Mg2YB2Ru5,7.4989314,0.030107763,
55-Mg2YB2Os5.poscar,Mg2YB2Os5,2.572423,0.095316007,
56-Mg2YB2Co5.poscar,Mg2YB2Co5,2.5752835,0.034853579,
57-Mg2YB2Rh5.poscar,Mg2YB2Rh5,9.768598,0.025413797,
58-Mg2YB2Ir5.poscar,Mg2YB2Ir5,2.983316,0.018415158,
59-Mg2YB2Ni5.poscar,Mg2YB2Ni5,3.0442142,0.030354194,
61-Mg2YB2Pt5.poscar,Mg2YB2Pt5,7.369318,0.023455257,
62-Mg2YB2Cu5.poscar,Mg2YB2Cu5,5.6115274,0.040957448,
63-Mg2YB2Ag5.poscar,Mg2YB2Ag5,6.4348435,0.038434294,
64-Mg2YB2Au5.poscar,Mg2YB2Au5,51.69549,0.035545789,
65-Mg2YB2Zn5.poscar,Mg2YB2Zn5,6.461072,0.049571199,
66-Mg2YB2Cd5.poscar,Mg2YB2Cd5,5.8395123,0.049115043,
67-Mg2YB2Hg5.poscar,Mg2YB2Hg5,16.941435,0.061265235,
68-Mg2YB2Al5.poscar,Mg2YB2Al5,8.492353,0.121496803,
69-Mg2YB2Ga5.poscar,Mg2YB2Ga5,4.866596,0.07120372,
70-Mg2YB2In5.poscar,Mg2YB2In5,5.7614875,0.064766498,
71-Mg2YB2Tl5.poscar,Mg2YB2Tl5,5.189141,0.072782026,
72-Mg2YB2Ge5.poscar,Mg2YB2Ge5,6.475849,0.084378258,
78-Mg2YB2Se5.poscar,Mg2YB2Se5,42.199886,0.193162484,
79-Mg2YB2Te5.poscar,Mg2YB2Te5,15.410117,0.149988712,
80-Mg2TiB2Cu5.poscar,Mg2TiB2Cu5,6.0208015,0.048965203,
81-Mg2TiB2Y5.poscar,Mg2TiB2Y5,7.3139906,0.130143232,
82-Mg2TiB2Ti5.poscar,Mg2TiB2Ti5,4.2504034,0.154416773,
83-Mg2TiB2Zr5.poscar,Mg2TiB2Zr5,3.8830252,0.128982419,
85-Mg2TiB2V5.poscar,Mg2TiB2V5,3.4603148,0.1164734,
86-Mg2TiB2Nb5.poscar,Mg2TiB2Nb5,2.4426887,0.105765181,
87-Mg2TiB2Ta5.poscar,Mg2TiB2Ta5,3.2779608,0.117095601,
88-Mg2TiB2Mo5.poscar,Mg2TiB2Mo5,2.2796538,0.095902567,
89-Mg2TiB2W5.poscar,Mg2TiB2W5,2.613761,0.338563356,
90-Mg2TiB2Mn5.poscar,Mg2TiB2Mn5,3.1999621,0.068866471,
91-Mg2TiB2Tc5.poscar,Mg2TiB2Tc5,3.3355997,0.070372996,
92-Mg2TiB2Re5.poscar,Mg2TiB2Re5,2.9564977,0.147489192,
93-Mg2TiB2Fe5.poscar,Mg2TiB2Fe5,2.9835958,0.053622249,
94-Mg2TiB2Ru5.poscar,Mg2TiB2Ru5,4.783297,0.025299155,
95-Mg2TiB2Os5.poscar,Mg2TiB2Os5,2.5999575,0.073696352,
96-Mg2TiB2Co5.poscar,Mg2TiB2Co5,2.5199795,0.036003065,
97-Mg2TiB2Rh5.poscar,Mg2TiB2Rh5,1.8917223,0.020139202,
98-Mg2TiB2Ir5.poscar,Mg2TiB2Ir5,2.8634043,0.01003218,
99-Mg2TiB2Ni5.poscar,Mg2TiB2Ni5,2.5838647,0.02911078,
101-Mg2TiB2Pt5.poscar,Mg2TiB2Pt5,9.278232,0.023886387,
102-Mg2TiB2Cu5.poscar,Mg2TiB2Cu5,6.0208015,0.048965203,
103-Mg2TiB2Ag5.poscar,Mg2TiB2Ag5,2.2826853,0.039154889,
104-Mg2TiB2Au5.poscar,Mg2TiB2Au5,4.353651,0.045347654,
105-Mg2TiB2Zn5.poscar,Mg2TiB2Zn5,9.237358,0.061458735,
106-Mg2TiB2Cd5.poscar,Mg2TiB2Cd5,6.0592237,0.061995104,
107-Mg2TiB2Hg5.poscar,Mg2TiB2Hg5,4.5927005,0.095701775,
108-Mg2TiB2Al5.poscar,Mg2TiB2Al5,2.833149,0.14522026,
109-Mg2TiB2Ga5.poscar,Mg2TiB2Ga5,7.6973915,0.105892519,
110-Mg2TiB2In5.poscar,Mg2TiB2In5,10.7291765,0.100206183,
111-Mg2TiB2Tl5.poscar,Mg2TiB2Tl5,2.4148388,0.115610062,
112-Mg2TiB2Ge5.poscar,Mg2TiB2Ge5,8.737357,0.118598987,
118-Mg2TiB2Se5.poscar,Mg2TiB2Se5,23.875423,0.245233902,
119-Mg2TiB2Te5.poscar,Mg2TiB2Te5,1.9376942,0.192508657,
120-Mg2ZrB2Cu5.poscar,Mg2ZrB2Cu5,6.1244826,0.044398747,
121-Mg2ZrB2Y5.poscar,Mg2ZrB2Y5,4.9253654,0.13472078,
122-Mg2ZrB2Ti5.poscar,Mg2ZrB2Ti5,4.152053,0.12975923,
123-Mg2ZrB2Zr5.poscar,Mg2ZrB2Zr5,6.024985,0.145931227,
125-Mg2ZrB2V5.poscar,Mg2ZrB2V5,2.4204721,0.102423763,
126-Mg2ZrB2Nb5.poscar,Mg2ZrB2Nb5,2.312128,0.111064294,
127-Mg2ZrB2Ta5.poscar,Mg2ZrB2Ta5,3.5647907,0.114140987,
128-Mg2ZrB2Mo5.poscar,Mg2ZrB2Mo5,5.7958555,0.105158459,
129-Mg2ZrB2W5.poscar,Mg2ZrB2W5,8.990765,0.324375981,
130-Mg2ZrB2Mn5.poscar,Mg2ZrB2Mn5,2.577114,0.069319526,
131-Mg2ZrB2Tc5.poscar,Mg2ZrB2Tc5,3.231837,0.074451305,
132-Mg2ZrB2Re5.poscar,Mg2ZrB2Re5,3.1378517,0.14768414,
133-Mg2ZrB2Fe5.poscar,Mg2ZrB2Fe5,2.600354,0.049580318,
134-Mg2ZrB2Ru5.poscar,Mg2ZrB2Ru5,4.779657,0.03295987,
135-Mg2ZrB2Os5.poscar,Mg2ZrB2Os5,2.6133084,0.073319017,
136-Mg2ZrB2Co5.poscar,Mg2ZrB2Co5,2.8016837,0.034018396,
137-Mg2ZrB2Rh5.poscar,Mg2ZrB2Rh5,7.152135,0.030487488,
138-Mg2ZrB2Ir5.poscar,Mg2ZrB2Ir5,3.535934,0.012946561,
139-Mg2ZrB2Ni5.poscar,Mg2ZrB2Ni5,3.2177262,0.029450964,
141-Mg2ZrB2Pt5.poscar,Mg2ZrB2Pt5,5.129336,0.030344484,
142-Mg2ZrB2Cu5.poscar,Mg2ZrB2Cu5,6.1244826,0.044398747,
143-Mg2ZrB2Ag5.poscar,Mg2ZrB2Ag5,9.603882,0.044342318,
144-Mg2ZrB2Au5.poscar,Mg2ZrB2Au5,17.671694,0.047358968,
145-Mg2ZrB2Zn5.poscar,Mg2ZrB2Zn5,5.25924,0.057754608,
146-Mg2ZrB2Cd5.poscar,Mg2ZrB2Cd5,7.1630816,0.067429595,
147-Mg2ZrB2Hg5.poscar,Mg2ZrB2Hg5,10.019277,0.089776502,
148-Mg2ZrB2Al5.poscar,Mg2ZrB2Al5,7.5491505,0.136536454,
149-Mg2ZrB2Ga5.poscar,Mg2ZrB2Ga5,2.0168324,0.09900431,
150-Mg2ZrB2In5.poscar,Mg2ZrB2In5,3.0848804,0.097944512,
151-Mg2ZrB2Tl5.poscar,Mg2ZrB2Tl5,7.865918,0.111277792,
152-Mg2ZrB2Ge5.poscar,Mg2ZrB2Ge5,4.766266,0.111953218,
158-Mg2ZrB2Se5.poscar,Mg2ZrB2Se5,20.085056,0.229372188,
159-Mg2ZrB2Te5.poscar,Mg2ZrB2Te5,6.288072,0.185142666,
160-Mg2HfB2Cu5.poscar,Mg2HfB2Cu5,9.225333,0.042183735,
161-Mg2HfB2Y5.poscar,Mg2HfB2Y5,5.3776827,0.120090566,
162-Mg2HfB2Ti5.poscar,Mg2HfB2Ti5,8.274528,0.109259792,
163-Mg2HfB2Zr5.poscar,Mg2HfB2Zr5,2.377961,0.112018791,
165-Mg2HfB2V5.poscar,Mg2HfB2V5,7.814639,0.09011486,
166-Mg2HfB2Nb5.poscar,Mg2HfB2Nb5,6.3926034,0.094898713,
167-Mg2HfB2Ta5.poscar,Mg2HfB2Ta5,2.4900904,0.105569781,
168-Mg2HfB2Mo5.poscar,Mg2HfB2Mo5,2.2990253,0.080916093,
169-Mg2HfB2W5.poscar,Mg2HfB2W5,4.7708697,0.216551255,
170-Mg2HfB2Mn5.poscar,Mg2HfB2Mn5,2.0293906,0.065656587,
171-Mg2HfB2Tc5.poscar,Mg2HfB2Tc5,2.5170484,0.067978007,
172-Mg2HfB2Re5.poscar,Mg2HfB2Re5,2.6967857,0.110623192,
